COMMUNE;ARM;IRIS;ACHLR3;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;MATRM;METRODOM;NBPI;RECHM;REGION;SANI;SANIDOM;SEXEM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880503;2;2010;9;40;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;02;Z;Z;Z;16;1;2;Z;2;1;6;0;0;1;1;2;1;0;0;0;0;0;2;3;2;1;2;1;3.84566419921108;1;M;03;Z;11;2;ZZ;1;21;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;1981;7;55;030;05;2;Z;Z;H;1;Z;1;Z;Z;3;Z;Z;03;Z;Z;Z;16;2;2;Z;1;2;6;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3.84566419921108;3;M;02;Z;11;2;ZZ;2;21;1;11;1;2;770311;3;2;0;Z
77288;ZZZZZ;772880503;3;2006;9;40;007;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;02;Z;Z;Z;16;1;2;Z;3;1;6;1;1;2;2;2;2;0;0;0;0;0;2;4;2;2;2;2;1.16473647723284;2;M;04;Z;11;2;ZZ;1;10;3;11;1;4;770311;1;1;1;Z
77288;ZZZZZ;772880503;3;2009;9;55;005;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;12;Z;Z;Z;16;1;2;Z;3;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.16473647723284;4;M;04;Z;11;2;ZZ;2;10;2;11;1;5;770311;1;1;1;Z
77288;ZZZZZ;772880503;1;1989;7;65;024;04;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;13;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;2;0;0;1;1;0;0;1;2;1;1;1;0;4.48853951633485;2;M;04;0;11;2;ZZ;1;10;2;21;Z;Z;770311;1;1;1;Z
77288;ZZZZZ;772880503;3;2011;9;25;001;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;ZZ;1;1;Z;Z;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;3.79758598950002;1;M;03;2;11;2;ZZ;1;22;2;12;Z;Z;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2010;9;20;000;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;4.82939514950212;1;M;02;Z;11;2;ZZ;2;21;1;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2011;9;40;001;00;1;Z;Z;H;1;Z;1;Z;Z;4;Z;Z;16;Z;Z;Z;ZZ;1;2;Z;Z;1;6;0;0;0;0;2;0;0;0;0;0;0;1;2;1;1;0;0;3.79758598950002;1;M;04;0;11;2;ZZ;1;23;2;25;Z;Z;770311;3;2;0;Z
77288;ZZZZZ;772880503;2;2010;9;20;000;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;4.82939514950212;1;M;02;Z;11;2;ZZ;2;21;1;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2000;9;55;012;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;13;Z;Z;Z;16;1;1;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3.79758598950002;1;M;02;Z;11;2;ZZ;1;22;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2007;9;40;003;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;15;Z;Z;Z;16;1;2;Z;2;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.82939514950212;1;M;01;Z;11;2;ZZ;1;10;1;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2006;9;40;006;02;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;02;Z;Z;Z;16;1;1;Z;2;2;1;0;2;2;2;2;2;1;0;0;2;0;2;4;2;2;2;1;3.79758598950002;1;M;03;Z;11;2;ZZ;1;22;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;1991;8;55;022;04;2;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;14;Z;Z;Z;16;2;2;Z;3;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4.48853951633485;1;M;04;Z;11;2;ZZ;2;10;2;11;1;5;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2009;9;25;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;1;2;Z;1;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;05;Z;11;2;ZZ;1;30;3;11;1;2;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2011;9;65;001;00;2;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;14;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;3.79758598950002;2;M;07;0;11;2;ZZ;2;21;3;21;Z;Z;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2003;9;80;010;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;02;Z;Z;Z;ZZ;2;2;Z;Z;1;6;0;0;0;0;2;0;0;1;1;0;1;1;2;1;1;1;0;4.48853951633485;3;M;04;9;11;1;ZZ;2;10;2;21;Z;Z;770311;3;2;0;Z
77288;ZZZZZ;772880503;2;1993;8;40;019;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;1;2;Z;3;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;3.79758598950002;1;M;03;Z;11;2;ZZ;1;10;2;11;1;4;770311;3;2;2;Z
77288;ZZZZZ;772880503;2;2007;9;25;006;02;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;2;0;1;1;1;2;1;1;0;0;1;0;2;3;1;2;2;1;4.48853951633485;2;M;03;Z;11;2;ZZ;1;10;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2006;9;40;006;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;2;2;2;1;0;1;1;1;1;0;0;0;0;0;1;2;2;0;1;1;3.79758598950002;4;M;03;Z;11;2;ZZ;1;10;2;11;1;5;770311;3;2;0;Z
77288;ZZZZZ;772880503;2;1971;6;80;042;06;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;4.48853951633485;2;M;04;0;11;2;ZZ;1;10;2;21;Z;Z;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2011;9;40;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;15;Z;Z;Z;15;1;2;Z;3;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3.79758598950002;1;M;01;Z;11;2;ZZ;2;21;1;11;2;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;1995;8;80;018;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.48853951633485;3;M;03;0;11;2;ZZ;2;10;2;21;Z;Z;770311;3;2;0;Z
77288;ZZZZZ;772880503;2;2006;9;25;006;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;16;1;2;Z;1;2;2;0;1;1;1;1;1;0;0;0;1;0;1;2;1;1;1;1;3.79758598950002;1;M;03;Z;11;2;ZZ;2;10;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;1992;8;65;021;04;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;12;Z;Z;Z;16;2;2;Z;1;2;3;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;0;4.48853951633485;4;M;04;Z;11;2;ZZ;2;10;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;1997;8;40;015;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;1;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3.79758598950002;1;M;03;Z;11;2;ZZ;2;10;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;1983;7;55;027;04;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;4.82939514950212;1;M;01;1;11;2;ZZ;1;21;1;12;Z;Z;770311;3;2;0;Z
77288;ZZZZZ;772880503;1;2008;9;25;002;01;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;2;2;Z;3;1;6;1;2;3;3;2;3;0;0;0;2;0;2;5;2;3;2;3;4.82939514950212;2;M;06;Z;11;2;ZZ;1;10;3;11;1;5;770311;2;1;1;Z
77288;ZZZZZ;772880503;2;0000;0;YY;999;99;2;Z;Z;H;4;Z;2;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;2;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;3.84565846687447;Y;M;02;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770311;1;1;X;Z
77288;ZZZZZ;772880503;3;2010;9;55;003;01;2;Z;Z;H;1;Z;2;Z;Z;6;Z;Z;17;Z;Z;Z;ZZ;1;2;Z;Z;2;2;2;0;1;2;2;2;0;0;0;0;0;1;4;2;2;1;2;1.16473647723284;2;M;07;0;11;2;ZZ;1;10;3;24;Z;Z;770311;1;1;2;Z
77288;ZZZZZ;772880503;1;2005;9;25;009;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;3;2;2;0;2;2;2;2;2;0;0;0;1;0;2;4;3;1;2;2;3.49615715156020;2;M;06;Z;11;2;ZZ;1;10;3;11;1;5;770311;1;1;2;Z
77288;ZZZZZ;772880503;1;1957;4;80;053;07;2;Z;Z;H;1;Z;2;Z;Z;3;Z;Z;12;Z;Z;Z;ZZ;1;2;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;4.82939514950212;3;M;06;0;11;2;ZZ;2;10;2;21;Z;Z;770311;1;1;0;Z
77288;ZZZZZ;772880503;3;2009;9;40;005;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;1;2;Z;3;1;6;0;2;2;2;2;2;0;0;0;1;0;2;4;2;2;2;2;1.16473647723284;2;M;04;Z;11;2;ZZ;1;10;2;11;1;5;770311;2;1;2;Z
77288;ZZZZZ;772880503;3;2011;9;25;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;02;Z;11;2;ZZ;1;10;1;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;1;1978;6;65;034;05;2;Z;Z;H;1;Z;2;Z;Z;3;Z;Z;02;Z;Z;Z;ZZ;2;2;Z;Z;2;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;3.79758598950002;3;M;07;0;11;2;ZZ;2;10;3;24;Z;Z;770311;1;1;1;Z
77288;ZZZZZ;772880503;2;1991;8;40;023;04;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;1;2;Z;2;2;1;0;0;1;1;1;1;0;0;0;0;0;1;2;1;1;1;1;3.49615715156020;1;M;03;Z;11;2;ZZ;2;10;2;11;1;4;770311;2;2;1;Z
77288;ZZZZZ;772880503;2;1998;8;55;013;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;03;Z;Z;Z;22;1;2;Z;1;1;6;2;0;0;0;4;2;0;0;0;0;0;2;4;3;1;2;2;3.84566419921108;1;M;03;Z;11;2;ZZ;1;10;2;11;1;1;770311;1;1;1;Z
77288;ZZZZZ;772880503;3;2011;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;13;Z;Z;Z;16;1;2;Z;2;2;2;0;2;2;2;2;2;1;0;0;2;0;2;4;1;3;1;1;4.48853951633485;2;M;04;Z;11;2;ZZ;1;21;3;11;1;4;770311;2;1;2;Z
77288;ZZZZZ;772880503;3;2007;9;25;003;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;2;2;Z;1;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;01;Z;11;1;ZZ;1;23;1;11;1;5;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2013;9;20;001;00;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;03;Z;11;2;ZZ;1;10;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2008;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;15;2;2;Z;3;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.16473647723284;1;M;02;Z;11;2;ZZ;2;21;2;11;1;5;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2009;9;65;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;ZZ;1;2;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1.16473647723284;3;M;03;0;11;2;ZZ;2;10;2;21;Z;Z;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2009;9;40;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;02;Z;Z;Z;16;2;2;Z;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;2;M;01;Z;11;2;ZZ;1;23;1;11;1;4;770311;3;6;1;Z
77288;ZZZZZ;772880503;3;2011;9;40;003;01;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;03;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;02;Z;11;2;ZZ;1;21;1;11;1;4;770311;3;2;0;Z
77288;ZZZZZ;772880503;1;2006;9;25;004;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;14;Z;Z;Z;ZZ;2;2;Z;Z;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1.16473647723284;1;M;01;2;11;2;ZZ;2;23;1;12;Z;Z;770311;3;2;0;Z
77288;ZZZZZ;772880503;3;2013;9;25;001;00;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;02;Z;11;2;ZZ;1;21;2;11;1;5;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2000;9;25;010;03;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;22;2;2;Z;2;2;1;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;1.16473647723284;1;M;04;Z;11;2;ZZ;1;21;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2009;9;25;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;02;Z;11;2;ZZ;1;10;2;11;1;3;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2008;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;ZZ;1;2;Z;Z;2;6;0;0;0;0;2;1;0;0;0;0;0;2;2;1;1;1;1;1.16473647723284;1;M;02;1;11;2;ZZ;1;21;2;12;Z;Z;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2009;9;40;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;16;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;1;0;1.16473647723284;2;M;02;1;11;2;ZZ;1;10;2;12;Z;Z;770311;3;2;2;Z
77288;ZZZZZ;772880503;3;2007;9;20;003;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;03;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;2;2;0;0;0;0;0;2;2;1;1;1;0;1.16473647723284;1;M;02;2;11;2;ZZ;1;21;2;12;Z;Z;770311;3;2;2;Z
77288;ZZZZZ;772880503;3;2009;9;40;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.16473647723284;1;M;03;Z;11;2;ZZ;2;10;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2008;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;18;Z;Z;Z;14;2;2;3;3;2;6;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1.16473647723284;1;M;01;Z;11;2;ZZ;2;23;1;11;1;5;770311;3;2;0;Z
77288;ZZZZZ;772880503;3;2009;9;40;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.16473647723284;4;M;03;Z;11;2;ZZ;2;10;2;11;2;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2012;9;40;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.16473647723284;4;M;03;Z;11;2;ZZ;2;10;2;11;1;4;770311;2;1;1;Z
77288;ZZZZZ;772880503;3;2012;9;20;001;00;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;14;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;2;1;0;0;0;0;0;2;2;1;1;2;0;1.16473647723284;1;M;04;Z;11;2;ZZ;1;21;2;11;1;4;770311;3;2;2;Z
77288;ZZZZZ;772880503;3;2005;9;25;006;02;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;17;Z;Z;Z;16;1;2;Z;2;1;6;0;1;1;1;2;1;1;0;0;1;0;2;3;2;1;2;0;3.84566419921108;1;M;06;Z;11;2;ZZ;1;10;2;11;1;4;770311;1;1;1;Z
77288;ZZZZZ;772880503;3;2011;9;40;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;13;Z;Z;Z;21;1;2;Z;2;2;1;1;0;1;1;1;1;0;0;0;0;0;1;2;0;2;1;1;1.16473647723284;4;M;03;Z;11;2;ZZ;2;10;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2006;9;40;005;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;17;Z;Z;Z;16;2;2;Z;2;2;2;0;2;2;2;2;2;0;0;0;0;0;2;4;2;2;2;2;3.84566419921108;2;M;04;Z;11;2;ZZ;1;10;2;11;1;5;770311;1;1;0;Z
77288;ZZZZZ;772880503;2;1953;4;80;058;07;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;11;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.84566419921108;3;M;04;0;11;2;ZZ;2;10;2;21;Z;Z;770311;1;1;0;Z
77288;ZZZZZ;772880503;3;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;2;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;1.16473474107981;Y;M;04;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770311;3;2;X;Z
77288;ZZZZZ;772880503;2;0000;0;YY;999;99;2;Z;Z;H;4;Z;1;Z;Z;6;Z;Z;YY;Z;Z;Z;YY;2;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;3.84565846687447;Y;M;02;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770311;3;1;X;Z
77288;ZZZZZ;772880503;3;2013;9;25;001;00;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;14;Z;Z;Z;22;1;2;Z;2;2;1;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;1.16473647723284;1;M;03;Z;11;2;ZZ;1;10;2;11;1;4;770311;3;2;2;Z
77288;ZZZZZ;772880503;3;2009;9;55;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;13;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.16473647723284;1;M;04;Z;11;2;ZZ;2;21;2;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2009;9;80;005;02;1;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;15;Z;Z;Z;ZZ;1;2;Z;Z;2;3;0;0;0;0;2;0;0;2;2;0;2;0;2;1;1;0;0;1.16473647723284;2;M;03;0;11;2;ZZ;1;21;2;21;Z;Z;770311;3;2;0;Z
77288;ZZZZZ;772880503;3;2006;9;25;007;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;15;Z;Z;Z;22;2;2;Z;1;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.48853951633485;1;M;02;Z;11;2;ZZ;1;21;1;11;1;2;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2006;9;40;007;02;2;Z;Z;H;1;Z;2;Z;Z;6;Z;Z;16;Z;Z;Z;16;1;2;Z;2;2;1;0;3;4;4;2;4;0;0;0;1;0;2;6;4;2;2;4;4.48853951633485;2;M;04;Z;11;2;ZZ;1;10;2;11;1;2;770311;3;1;1;Z
77288;ZZZZZ;772880503;3;2006;9;25;007;02;2;Z;Z;H;1;Z;4;Z;Z;6;Z;Z;12;Z;Z;Z;16;1;2;Z;1;2;2;1;1;3;3;1;3;0;0;0;0;0;1;4;1;3;1;3;4.48853951633485;2;M;06;Z;11;2;ZZ;2;10;3;11;1;1;770311;2;1;0;Z
77288;ZZZZZ;772880503;3;2009;9;55;005;02;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;16;Z;Z;Z;16;1;2;Z;1;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;1;1;2;0;1.16473647723284;1;M;03;Z;11;2;ZZ;1;10;2;11;1;2;770311;1;1;1;Z
77288;ZZZZZ;772880503;3;0000;0;YY;999;99;2;Z;Z;H;4;Z;3;Z;Z;4;Z;Z;YY;Z;Z;Z;YY;2;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;4.48853282573005;Y;M;02;Y;11;2;ZZ;Y;00;2;YY;Y;Y;770311;3;2;X;Z
77288;ZZZZZ;772880503;2;2004;9;25;006;02;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;1;2;Z;2;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.82939514950212;1;M;01;Z;11;2;ZZ;1;21;1;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;2009;9;55;001;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;15;Z;Z;Z;15;1;2;Z;2;2;6;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4.82939514950212;2;M;01;Z;11;2;ZZ;2;21;1;11;2;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;2;0000;0;YY;999;99;1;Z;Z;H;4;Z;2;Z;Z;2;Z;Z;YY;Z;Z;Z;YY;1;2;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;4.82938795081884;Y;M;01;Y;11;2;ZZ;Y;00;1;YY;Y;Y;770311;3;2;X;Z
77288;ZZZZZ;772880503;2;2009;9;25;001;00;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;1;2;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.82939514950212;1;M;02;Z;11;2;ZZ;1;10;2;11;1;3;770311;3;2;2;Z
77288;ZZZZZ;772880503;2;2008;9;40;002;01;1;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;12;Z;Z;Z;ZZ;1;2;Z;Z;2;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;4.82939514950212;2;M;01;0;11;2;ZZ;2;21;1;25;Z;Z;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2011;9;20;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;14;Z;Z;Z;16;1;2;Z;3;2;2;1;0;0;0;2;2;0;0;0;0;0;1;2;1;1;1;1;1.16473647723284;1;M;02;Z;11;2;ZZ;1;21;1;11;1;4;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2011;9;40;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;16;Z;Z;Z;16;1;2;Z;3;2;6;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1.16473647723284;1;M;01;Z;11;2;ZZ;2;21;1;11;2;5;770311;3;2;0;Z
77288;ZZZZZ;772880503;3;2011;9;40;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;03;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;02;Z;11;2;ZZ;1;10;1;11;1;5;770311;3;2;1;Z
77288;ZZZZZ;772880503;3;2011;9;25;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;03;Z;11;2;ZZ;1;10;2;11;1;5;770311;3;2;0;Z
77288;ZZZZZ;772880503;3;2011;9;25;001;00;2;Z;Z;H;1;Z;2;Z;Z;2;Z;Z;18;Z;Z;Z;16;1;2;Z;1;2;3;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.16473647723284;1;M;02;Z;11;2;ZZ;1;10;2;11;1;2;770311;3;2;1;Z
